AHECC,Label,Destination,Qty,Unit,Value 000
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Sri Lanka,144,Litres,1.84
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Sweden,149013,Litres,539.418
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Switzerland,5940,Litres,20.721
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Taiwan,450,Litres,24.214
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Thailand,15026,Litres,121.526
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Timor-Leste,775,Litres,9.489
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Tonga,18,Litres,1.17
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),United Arab Emirates,36357,Litres,200.221
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),United Kingdom,390270,Litres,1947.761
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),United States of America,563069,Litres,2475.441
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),United States Virgin Is,63,Litres,0.586
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Vanuatu,1639,Litres,42.57
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),Viet Nam,31752,Litres,450.949
22041010,Champagne from fresh grapes (that is wine in which the natural effervescence is solely produced by fermentation in the bottle),"Virgin Islands, British",216,Litres,2.011
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Antarctica,68,Litres,0.487
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Austria,450,Litres,7.583
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Bahamas,1170,Litres,4.252
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Bahrain,2547,Litres,9.198
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Bangladesh,1103,Litres,12.108
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Barbados,1944,Litres,6.872
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Belgium,196279,Litres,1238.909
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Bermuda,1206,Litres,4.424
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Brazil,4653,Litres,21.045
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Brunei Darussalam,5,Litres,0.118
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Cambodia,3447,Litres,25.258
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Canada,451031,Litres,2624.387
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Cayman Islands,270,Litres,0.948
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),China (excluding SARs and Taiwan),593303,Litres,3029.707
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Christmas Island,847,Litres,8.812
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Cocos (Keeling) Island,780,Litres,9.426
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Cook Islands,1507,Litres,9.758
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Denmark,15778,Litres,157.138
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Estonia,2061,Litres,11.935
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Fiji,61964,Litres,360.461
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Finland,93339,Litres,653.526
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),French Polynesia,16128,Litres,156.212
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Germany,4385,Litres,44.519
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Ghana,2362,Litres,8.5
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Greece,27,Litres,0.475
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Guam,288,Litres,1.894
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Hong Kong (SAR of China),148013,Litres,976.673
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),India,31857,Litres,134.263
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Indonesia,14891,Litres,129.162
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Ireland,85320,Litres,370.064
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Japan,1233162,Litres,6807.275
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Kenya,509,Litres,4.359
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),"Korea, Republic of",25694,Litres,185.305
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Laos,63,Litres,0.511
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Latvia,26969,Litres,200.308
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Macau (SAR of China),257,Litres,2.87
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Malaysia,32916,Litres,269.14
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Maldives,1575,Litres,6.3
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Mali,6,Litres,0.263
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Marianas Northern,93,Litres,0.655
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Marshall Islands,23,Litres,0.175
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Mexico,3366,Litres,13.896
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),"Myanmar, Republic of",680,Litres,6.824
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Nauru,231,Litres,2.612
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Nepal,788,Litres,5.34
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Netherlands,99939,Litres,590.918
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Netherlands Antilles,360,Litres,1.286
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),New Caledonia,10817,Litres,134.47
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),New Zealand,1224084,Litres,5729.214
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Nigeria,11057,Litres,39.823
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Norfolk Island,9342,Litres,40.742
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Norway,119900,Litres,760.203
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Oman,347,Litres,1.611
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Palau,23,Litres,0.175
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Papua New Guinea,20085,Litres,165.273
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Peru,90,Litres,1.345
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Philippines,5093,Litres,37.45
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Poland,43943,Litres,170.334
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Puerto Rico,4644,Litres,25.694
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Qatar,10205,Litres,39.128
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Samoa,337,Litres,1.48
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Ship & Aircraft Stores,68313,Litres,287.975
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Sierra Leone,4500,Litres,16.65
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Singapore,588811,Litres,5177.493
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Solomon Islands,2795,Litres,18.756
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),South Africa,5540,Litres,83.933
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Spain,5,Litres,0.055
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Sri Lanka,9746,Litres,36.751
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),St Christopher and Nevis,180,Litres,0.87
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),St. Helena,439,Litres,5.656
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Sweden,204032,Litres,1042.172
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Switzerland,90,Litres,0.61
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Taiwan,25004,Litres,171.109
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Thailand,353728,Litres,1107.609
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Timor-Leste,1350,Litres,8.941
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Tonga,131,Litres,1.357
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Trinidad and Tobago,32868,Litres,119.884
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Turkey,3259,Litres,18.434
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Uganda,180,Litres,0.89
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),United Arab Emirates,243662,Litres,1038.217
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),United Kingdom,2077612,Litres,8168.071
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),United States of America,1555254,Litres,5543.654
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Vanuatu,12438,Litres,56.882
22041090,Sparkling wine from fresh grapes (excl. champagne and wine of grape must HS 2009),Viet Nam,29184,Litres,171.311
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Antarctica,54,Litres,0.883
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Bahrain,960,Litres,2.64
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Bangladesh,5,Litres,0.131
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Belgium,1586,Litres,26.87
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Brunei Darussalam,5,Litres,0.065
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Canada,267315,Litres,938.928
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",China (excluding SARs and Taiwan),294740,Litres,2295.604
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Christmas Island,333,Litres,5.137
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Cocos (Keeling) Island,24,Litres,0.073
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Cook Islands,212,Litres,1.451
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Denmark,11650,Litres,159.224
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Fiji,4119,Litres,22.91
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Finland,104,Litres,17.414
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",France,135,Litres,2.4
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Germany,161,Litres,3.58
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Ghana,90,Litres,0.68
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Greece,68,Litres,2.51
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Guam,1053,Litres,13.858
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Hong Kong (SAR of China),18570,Litres,208.091
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",India,405,Litres,3.419
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Indonesia,216,Litres,5.403
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Ireland,528,Litres,8.597
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Japan,9122,Litres,76.149
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L","Korea, Republic of",17276,Litres,146.542
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Latvia,360,Litres,3.576
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Macau (SAR of China),9,Litres,0.198
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Malaysia,2691,Litres,46.524
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Maldives,18,Litres,0.886
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Mexico,99,Litres,0.467
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Micronesia Fed States of,5,Litres,0.069
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L","Myanmar, Republic of",9,Litres,0.411
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Nepal,16958,Litres,43.544
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Netherlands,3313,Litres,30.873
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",New Caledonia,72,Litres,0.8
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",New Zealand,94664,Litres,636.223
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Norfolk Island,740,Litres,3.856
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Norway,91,Litres,7.309
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Oman,1760,Litres,4.62
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Papua New Guinea,19495,Litres,87.067
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Philippines,221,Litres,4.658
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Qatar,12368,Litres,34.785
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Samoa,3006,Litres,10.577
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Ship & Aircraft Stores,1458,Litres,29.521
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Singapore,7990,Litres,68.736
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Solomon Islands,12563,Litres,49.854
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",South Africa,1224,Litres,7.479
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Spain,5,Litres,2.796
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Sri Lanka,5094,Litres,21.348
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",St. Helena,149,Litres,1.868
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Sweden,48824,Litres,84.117
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Switzerland,292,Litres,8.022
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Taiwan,14544,Litres,113.432
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Thailand,3447,Litres,11.715
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Timor-Leste,18,Litres,0.326
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Tonga,1287,Litres,4.505
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Turkey,59,Litres,1.567
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",United Arab Emirates,52402,Litres,305.215
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",United Kingdom,40766,Litres,450.177
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",United States of America,135215,Litres,1042.416
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Vanuatu,875,Litres,5.75
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L",Viet Nam,2228,Litres,10.48
22042140,"Fortified wines from fresh grapes (incl. sherry, port and muscat), in containers not exceeding 2 L","Virgin Islands, British",153,Litres,0.904
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Antarctica,317,Litres,3.049
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Austria,9667,Litres,42.288
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Bahamas,15939,Litres,47.18
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Bahrain,10116,Litres,38.237
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Bangladesh,8950,Litres,51.155
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Barbados,36188,Litres,130.539
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Belgium,532771,Litres,2293.429
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Bermuda,24088,Litres,79.075
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Bhutan,2790,Litres,12.9
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Brazil,50041,Litres,224.408
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Brunei Darussalam,63,Litres,1.127
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Cambodia,67161,Litres,333.101
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Canada,9146317,Litres,37235.655
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Cayman Islands,29970,Litres,88.667
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Chile,4662,Litres,13.005
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",China (excluding SARs and Taiwan),2197374,Litres,12070.777
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Christmas Island,10610,Litres,108.205
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Cocos (Keeling) Island,2935,Litres,31.112
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Colombia,1035,Litres,13.55
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Cook Islands,9707,Litres,54.256
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Costa Rica,5787,Litres,16.922
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Cyprus,3681,Litres,16.329
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Czech Republic,2457,Litres,7.202
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Denmark,778683,Litres,3146.698
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Dominica,720,Litres,5.7
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Dominican Republic,4050,Litres,12.174
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",El Salvador,945,Litres,3.012
22042151,"White table wines from fresh grapes (excl. sparkling wines and fortified wines), in containers not exceeding 2 L",Estonia,24471,Litres,126.602
